14332,-8740,24531,3395,12842,23402,
8871,-4701,21092,1308,12291,21051,
-4159,-5,12299,7516,7582,11454,
8493,17704,-52732,70,33613,15720,
-7744,4314,4755,6876,8266,6940,
-4729,3831,5312,5957,9813,7902,
1484,10704,-22184,2433,21374,10451,
-33918,25741,-44139,19774,4195,-15714,
-6843,42323,-117709,552,39693,4780,
-335969,191988,-254763,-3479,-200111,-136186,
465,6319,-8072,2606,15613,11103,
-4162,2696,7556,5215,9280,8169,
-11152,10919,-11714,8656,12534,1629,
-2967,-10002,45496,1020,-7853,13379,
-40023,9016,24417,25226,-4148,-20472,
-6991,5381,3759,6688,9020,5929,
-6579,8733,-7255,6152,14553,5914,
-6625,2763,8119,3390,9086,8171,
3362,9415,-17409,509,21262,13246,
4591,-5776,25304,1409,6456,15142,
-9952,2703,8124,2324,6709,6646,
-4994,2679,8279,4928,7535,7574,
-2945,2878,6191,4100,9231,9124,
-4522,3289,5707,4646,7645,7872,
