Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
314,136,132,136,170,173,132,173,170,0.0245864,1.15919,-0.153985,0.031416,2.12895,0.000753984,4751,4751,4751,4751,4751,0,76,112,76,-27,-72,112,-72,-27,0.0193412,0.183029,-0.0529473,0.00423066,-0.00701842,0.00812426,4751,68418,-48067,-677,-1124,-1084,129,245.522,,
314,136,132,136,170,173,132,173,170,0.0249962,1.17831,-0.172982,0.031416,2.12937,0.00100531,4829,4829,4829,4829,4829,0,76,112,76,-27,-72,112,-72,-27,0.019661,0.183576,-0.0498104,0.00422008,-0.010711,0.00834003,4829,68623,-45219,-676,-1715,-1113,128,245.522,,
310,135,133,135,168,173,133,173,168,0.0281378,1.20515,-0.187803,0.031416,2.12937,0.00125664,-1360,-1360,-1360,-1360,-1360,0,75,113,75,-29,-72,113,-72,-29,-0.00554038,0.0858084,-0.261477,-0.000696809,0.10658,0.00514652,-1360,32076,-237377,111,17074,-687,127,246.508,,
305,135,132,135,169,174,132,174,169,0.0329185,1.22633,-0.199926,0.031416,2.12958,0.00150797,670,670,670,670,670,0,75,112,75,-28,-71,112,-71,-28,0.00272897,0.106523,-0.186728,0.000701439,0.0655887,0.00643542,670,39819,-169517,-112,10507,-859,126,244.434,,
310,137,132,137,173,175,132,175,173,0.0345576,1.2459,-0.213934,0.031416,2.13042,0.00201062,5335,5335,5335,5335,5335,0,77,112,77,-24,-70,112,-70,-24,0.0217191,0.211435,0.0483062,0.0076201,-0.0681264,0.00916657,5335,79037,43853,-1220,-10914,-1223,127,244.675,,
310,138,131,138,173,176,131,176,173,0.0349674,1.2555,-0.231527,0.0374898,2.13272,0.00226195,4771,4771,4771,4771,4771,0,78,111,78,-24,-69,111,-69,-24,0.0194228,0.234646,0.0861883,0.00819541,-0.0931398,0.00754369,4771,87713,78244,-1312,-14921,-1007,128,243.37,,
310,138,133,138,173,176,133,176,173,0.0366065,1.28126,-0.246681,0.0374898,2.13272,0.00251328,3661,3661,3661,3661,3661,0,78,113,78,-24,-69,113,-69,-24,0.0149045,0.197396,0.00729454,0.0062737,-0.0503038,0.00773374,3661,73789,6622,-1005,-8058,-1032,128,246.116,,
310,138,133,138,173,176,133,176,173,0.0402944,1.3046,-0.258138,0.0374898,2.1323,0.00276461,3795,3795,3795,3795,3795,0,78,113,78,-24,-69,113,-69,-24,0.0154521,0.196336,0.0133421,0.00693228,-0.0553388,0.00837558,3795,73392,12112,-1110,-8865,-1118,127,246.116,,
301,139,132,139,173,179,132,179,173,0.0412506,1.33772,-0.265309,0.0374898,2.13189,0.00427258,1516,1516,1516,1516,1516,0,79,112,79,-24,-66,112,-66,-24,0.00617285,0.161404,-0.0280169,0.00498145,-0.0271349,0.00564529,1516,60334,-25434,-798,-4347,-753,128,243.725,,
297,140,130,140,171,181,130,181,171,0.0430263,1.35603,-0.269965,0.0374898,2.13168,0.00477523,678,678,678,678,678,0,80,110,80,-26,-64,110,-64,-26,0.00276313,0.140045,-0.0657408,0.00359826,-0.0059961,0.00493638,678,52350,-59681,-576,-960,-659,129,240.765,,
288,140,128,140,172,183,128,183,172,0.0442556,1.38287,-0.27392,0.0374898,2.13126,0.00502656,-267,-267,-267,-267,-267,0,80,108,80,-25,-62,108,-62,-25,-0.00109042,0.140403,-0.0194998,0.0044024,-0.025459,0.00290193,-267,52484,-17702,-705,-4078,-387,128,236.865,,
288,142,123,142,169,185,123,185,169,0.0445288,1.39409,-0.280351,0.0374898,2.13126,0.00527789,-3695,-3695,-3695,-3695,-3695,0,82,103,82,-28,-60,103,-60,-28,-0.015044,0.171046,0.0504654,0.00572544,-0.0633932,-0.00262715,-3695,63939,45814,-917,-10155,350,128,230.779,,
288,142,123,142,169,185,123,185,169,0.0445288,1.42093,-0.283715,0.0374898,2.13084,0.00527789,-3778,-3778,-3778,-3778,-3778,0,82,103,82,-28,-60,103,-60,-28,-0.015383,0.168208,0.0580112,0.00546259,-0.0680805,-0.00339491,-3778,62878,52664,-875,-10906,453,128,230.779,,
280,142,121,142,166,187,121,187,166,0.0445288,1.43502,-0.28486,0.0374898,2.13021,0.00552922,-1547,-1547,-1547,-1547,-1547,0,82,101,82,-31,-58,101,-58,-31,-0.00629769,0.12047,-0.0450509,0.00262111,-0.0130657,0.00079254,-1547,45033,-40898,-419,-2093,-105,128,227.464,,
280,144,118,144,166,189,118,189,166,0.0445288,1.46375,-0.284823,0.0374898,2.12979,0.00578054,-7613,-7613,-7613,-7613,-7613,0,84,98,84,-31,-56,98,-56,-31,-0.0309915,0.155531,0.0527784,0.00323867,-0.0626355,-0.00954233,-7613,58139,47913,-518,-10034,1273,128,223.958,,
275,145,114,145,160,191,114,191,160,0.0445288,1.47371,-0.284786,0.0374898,2.12979,0.00578054,-4069,-4069,-4069,-4069,-4069,0,85,94,85,-37,-54,94,-54,-37,-0.0165645,0.119852,-0.0420042,0.00146598,-0.016719,-0.00345154,-4069,44802,-38132,-234,-2678,460,128,219.452,,
275,145,114,145,160,191,114,191,160,0.0445288,1.49525,-0.284306,0.0374898,2.12916,0.00578054,-4151,-4151,-4151,-4151,-4151,0,85,94,85,-37,-54,94,-54,-37,-0.0168989,0.119431,-0.038861,0.00123082,-0.0194247,-0.00402414,-4151,44644,-35279,-197,-3111,537,127,219.452,,
