No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
34,251,164,128,164,180,216,128,216,180,-0.0517681,1.55566,-0.441756,0.040003,2.20163,-0.0271434,-18721,-18721,-18721,-18721,-18721,0,104,108,104,-17,-29,108,-29,-17,-0.0762131,0.214728,-0.118485,-0.0156007,-0.0192797,-0.0423185,-18721,80267,-107564,2499,-3088,5649,130,242.064
35,243,163,127,163,180,217,127,217,180,-0.0540902,1.58322,-0.464708,0.040003,2.20163,-0.031416,-12215,-12215,-12215,-12215,-12215,0,103,107,103,-17,-28,107,-28,-17,-0.0497268,0.179443,-0.128553,-0.0103948,-0.00806057,-0.0315562,-12215,67077,-116704,1665,-1291,4212,129,239.629
36,235,161,128,161,183,217,128,217,183,-0.0633784,1.6053,-0.485257,0.040003,2.20163,-0.0359399,-11448,-11448,-11448,-11448,-11448,0,101,108,101,-14,-28,108,-28,-14,-0.0466041,0.166732,-0.11475,-0.0105886,-0.0102127,-0.0307026,-11448,62326,-104173,1696,-1636,4098,129,239.077
37,232,160,126,160,182,217,126,217,182,-0.0678859,1.63483,-0.501816,0.0397936,2.20163,-0.0392072,-11708,-11708,-11708,-11708,-11708,0,100,106,100,-15,-28,106,-28,-15,-0.047665,0.164187,-0.10735,-0.0115233,-0.0153466,-0.0322713,-11708,61375,-97455,1846,-2458,4308,128,235.587
38,220,158,123,158,181,218,123,218,181,-0.0738959,1.64964,-0.51671,0.0395842,2.20163,-0.0457417,-6773,-6773,-6773,-6773,-6773,0,98,103,98,-16,-27,103,-27,-16,-0.0275734,0.132301,-0.110761,-0.00669907,-0.00603639,-0.0230789,-6773,49455,-100552,1073,-967,3081,129,229.672
39,220,158,123,158,181,218,123,218,181,-0.0799059,1.67684,-0.530497,0.0389558,2.20163,-0.047501,-7165,-7165,-7165,-7165,-7165,0,98,103,98,-16,-27,103,-27,-16,-0.0291685,0.13518,-0.109346,-0.00764382,-0.0102865,-0.0252383,-7165,50532,-99268,1224,-1647,3369,130,229.672
40,213,155,121,155,181,217,121,217,181,-0.0819548,1.68832,-0.545502,0.038537,2.20163,-0.0522762,-6853,-6853,-6853,-6853,-6853,0,95,101,95,-16,-28,101,-28,-16,-0.0279009,0.126366,-0.0983755,-0.00737828,-0.0114656,-0.0237683,-6853,47237,-89308,1182,-1836,3173,130,224.671
41,206,154,119,154,181,218,119,218,181,-0.0848232,1.70906,-0.559399,0.0383275,2.20163,-0.0540355,-6845,-6845,-6845,-6845,-6845,0,94,99,94,-16,-27,99,-27,-16,-0.0278663,0.119123,-0.0886321,-0.00759909,-0.0134889,-0.0234515,-6845,44529,-80463,1217,-2161,3130,129,220.882
42,199,153,117,153,181,219,117,219,181,-0.0865989,1.72387,-0.572187,0.0381181,2.20163,-0.0570515,-6738,-6738,-6738,-6738,-6738,0,93,97,93,-16,-26,97,-26,-16,-0.0274305,0.111738,-0.0801381,-0.00754246,-0.0143215,-0.0226588,-6738,41769,-72751,1208,-2294,3025,129,217.101
43,195,153,116,153,181,220,116,220,181,-0.0919259,1.73778,-0.583386,0.0376992,2.20163,-0.0590621,-6893,-6893,-6893,-6893,-6893,0,93,96,93,-16,-25,96,-25,-16,-0.0280604,0.108841,-0.076105,-0.00784303,-0.0154539,-0.0231831,-6893,40686,-69090,1256,-2475,3095,130,215.527
44,185,150,113,150,180,220,113,220,180,-0.0984823,1.75591,-0.593218,0.0362331,2.20142,-0.0630833,-3793,-3793,-3793,-3793,-3793,0,90,93,90,-17,-25,93,-25,-17,-0.0154439,0.0904987,-0.0776212,-0.00454352,-0.0119099,-0.0178462,-3793,33829,-70466,727,-1908,2382,128,209.012
45,185,150,113,150,180,220,113,220,180,-0.103126,1.76642,-0.603308,0.0356048,2.20121,-0.065094,-3966,-3966,-3966,-3966,-3966,0,90,93,90,-17,-25,93,-25,-17,-0.016149,0.0916291,-0.0774768,-0.00476915,-0.0131701,-0.0186953,-3966,34252,-70335,764,-2109,2495,129,209.012
46,175,148,109,148,180,221,109,221,180,-0.106268,1.77826,-0.613804,0.0351859,2.20121,-0.0681099,-6352,-6352,-6352,-6352,-6352,0,88,89,88,-17,-24,89,-24,-17,-0.0258583,0.0890935,-0.0560721,-0.00765405,-0.0157742,-0.020664,-6352,33304,-50904,1226,-2527,2758,130,201.723
47,175,146,108,146,180,219,108,219,180,-0.109683,1.78966,-0.623562,0.0341387,2.20079,-0.0706232,-8432,-8432,-8432,-8432,-8432,0,86,88,86,-17,-26,88,-26,-17,-0.034328,0.0953131,-0.0443069,-0.0105806,-0.0194445,-0.0237677,-8432,35629,-40223,1695,-3115,3173,130,199.161
48,172,145,106,145,179,219,106,219,179,-0.113917,1.80762,-0.630695,0.0324632,2.20079,-0.0738904,-8397,-8397,-8397,-8397,-8397,0,85,86,85,-18,-26,86,-26,-18,-0.0341846,0.0927828,-0.0416986,-0.0108325,-0.0203664,-0.0238992,-8397,34683,-37855,1735,-3262,3190,129,195.74
49,172,145,106,145,179,219,106,219,179,-0.118425,1.81408,-0.636498,0.029531,2.20016,-0.0776604,-8551,-8551,-8551,-8551,-8551,0,85,86,85,-18,-26,86,-26,-18,-0.0348116,0.0935354,-0.0416253,-0.0111468,-0.0212488,-0.0246281,-8551,34964,-37788,1785,-3404,3287,129,195.74
50,163,143,102,143,178,220,102,220,178,-0.123069,1.82602,-0.641857,0.0286933,2.19995,-0.0801736,-7892,-7892,-7892,-7892,-7892,0,83,82,83,-19,-25,82,-25,-19,-0.0321281,0.0833514,-0.0362938,-0.0103561,-0.0188576,-0.0221479,-7892,31157,-32948,1659,-3021,2956,128,188.576
51,154,139,99,139,176,219,99,219,176,-0.127167,1.84002,-0.647216,0.0278555,2.19953,-0.0829382,-3871,-3871,-3871,-3871,-3871,0,79,79,79,-21,-26,79,-26,-21,-0.015761,0.0671621,-0.0462363,-0.00525703,-0.0155646,-0.016047,-3871,25106,-41974,842,-2493,2142,129,181.654
52,151,138,95,138,174,219,95,219,174,-0.130445,1.85169,-0.652169,0.0249234,2.19891,-0.0859542,-5361,-5361,-5361,-5361,-5361,0,78,75,78,-23,-26,75,-26,-23,-0.0218241,0.0681517,-0.0364846,-0.00730734,-0.0164637,-0.0173752,-5361,25476,-33121,1170,-2637,2319,128,175.852
53,151,138,95,138,174,219,95,219,174,-0.13345,1.8568,-0.657602,0.024295,2.1987,-0.0884675,-5448,-5448,-5448,-5448,-5448,0,78,75,78,-23,-26,75,-26,-23,-0.0221797,0.0686651,-0.0364755,-0.00746433,-0.0169932,-0.0178038,-5448,25667,-33113,1195,-2722,2376,129,175.852
54,139,135,91,135,172,220,91,220,172,-0.136318,1.86605,-0.662222,0.0238762,2.1987,-0.0922374,-2377,-2377,-2377,-2377,-2377,0,75,71,75,-25,-25,71,-25,-25,-0.00967748,0.0542827,-0.0418618,-0.00332596,-0.0148848,-0.0131773,-2377,20291,-38003,532,-2384,1759,129,168.071
55,136,133,90,133,172,219,90,219,172,-0.138094,1.87377,-0.667359,0.0232478,2.19849,-0.0937453,-2373,-2373,-2373,-2373,-2373,0,73,70,73,-25,-26,70,-26,-25,-0.00966224,0.0525089,-0.0396835,-0.00331789,-0.0148484,-0.0127908,-2373,19628,-36025,531,-2378,1707,130,165.333
56,131,131,87,131,170,219,87,219,170,-0.138094,1.88248,-0.672977,0.0222006,2.19828,-0.0944993,-1337,-1337,-1337,-1337,-1337,0,71,67,71,-27,-26,67,-26,-27,-0.00544458,0.0477783,-0.0410309,-0.00191269,-0.0151689,-0.0114327,-1337,17860,-37249,306,-2430,1526,130,160.094
