No,Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr
31,220,141,84,141,143,201,84,201,143,-0.0408408,1.62567,-0.393042,0.0414691,2.30551,0,-12882,-12882,-12882,-12882,-12882,0,81,64,81,-54,-44,64,-44,-54,-0.0524413,0.192441,-0.134954,-0.0151148,-0.0204659,-0.0312666,-12882,71936,-122515,2421,-3278,4174,128,179.438
32,213,139,82,139,144,201,82,201,144,-0.0457581,1.65054,-0.413222,0.0412597,2.30551,-0.00351859,-16212,-16212,-16212,-16212,-16212,0,79,62,79,-53,-44,62,-44,-53,-0.065999,0.188898,-0.108024,-0.0187505,-0.028854,-0.0369982,-16212,70612,-98067,3003,-4622,4939,129,175.2
33,202,137,82,137,146,202,82,202,146,-0.0527242,1.6745,-0.43052,0.0406314,2.30551,-0.00779117,-9945,-9945,-9945,-9945,-9945,0,77,62,77,-51,-43,62,-43,-51,-0.0404885,0.157061,-0.102135,-0.0134361,-0.0224815,-0.0263092,-9945,58711,-92721,2152,-3601,3512,130,172.305
34,195,134,78,134,145,201,78,201,145,-0.0607831,1.70134,-0.444675,0.0391653,2.30509,-0.0100531,-10928,-10928,-10928,-10928,-10928,0,74,58,74,-52,-44,58,-44,-52,-0.0444863,0.148642,-0.0837883,-0.0150949,-0.0265332,-0.028065,-10928,55564,-76065,2418,-4250,3746,129,166.193
35,179,129,74,129,144,201,74,201,144,-0.0637881,1.71884,-0.458277,0.038537,2.30509,-0.0150797,-3932,-3932,-3932,-3932,-3932,0,69,54,69,-53,-44,54,-44,-53,-0.0160066,0.111613,-0.0844805,-0.00740124,-0.0173996,-0.0150591,-3932,41722,-76694,1185,-2787,2010,128,157.959
36,172,127,71,127,144,201,71,201,144,-0.0684322,1.73895,-0.469069,0.0364426,2.30467,-0.0191009,-4473,-4473,-4473,-4473,-4473,0,67,51,67,-53,-44,51,-44,-53,-0.0182094,0.104148,-0.071368,-0.00802515,-0.0188238,-0.0154272,-4473,38932,-64790,1285,-3015,2059,128,153.173
37,172,127,71,127,144,201,71,201,144,-0.0714373,1.75232,-0.479307,0.0337198,2.30425,-0.0221169,-4624,-4624,-4624,-4624,-4624,0,67,51,67,-53,-44,51,-44,-53,-0.018826,0.105192,-0.0707802,-0.00845979,-0.0204679,-0.0162453,-4624,39322,-64256,1355,-3279,2168,128,153.173
38,166,124,68,124,143,200,68,200,143,-0.0756716,1.76498,-0.48888,0.0324632,2.30405,-0.0243788,-3248,-3248,-3248,-3248,-3248,0,64,48,64,-54,-45,48,-45,-54,-0.0132237,0.0951229,-0.0659075,-0.00706411,-0.0194839,-0.0137553,-3248,35558,-59832,1131,-3121,1836,128,148.56
39,163,121,65,121,142,198,65,198,142,-0.0788132,1.77826,-0.497528,0.031416,2.30363,-0.0251328,-1631,-1631,-1631,-1631,-1631,0,61,45,61,-55,-47,45,-47,-55,-0.00663977,0.0871773,-0.0596032,-0.00581945,-0.0192002,-0.0111227,-1631,32588,-54109,932,-3075,1484,132,144.776
40,157,118,64,118,141,197,64,197,141,-0.0800425,1.79352,-0.506066,0.0305782,2.303,-0.0263894,-1163,-1163,-1163,-1163,-1163,0,58,44,58,-56,-48,44,-48,-56,-0.00473571,0.0821736,-0.0604815,-0.00488426,-0.0191292,-0.0100088,-1163,30717,-54907,782,-3064,1336,129,142.408
41,145,115,60,115,141,198,60,198,141,-0.0816816,1.80259,-0.513754,0.0297405,2.303,-0.0281487,-727,-727,-727,-727,-727,0,55,40,55,-56,-47,40,-47,-56,-0.00296262,0.0693086,-0.0517168,-0.00400107,-0.016982,-0.00842894,-727,25908,-46950,640,-2720,1125,131,135.661
42,145,115,60,115,141,198,60,198,141,-0.0827743,1.81237,-0.521959,0.0289027,2.30279,-0.0309133,-759,-759,-759,-759,-759,0,55,40,55,-56,-47,40,-47,-56,-0.00309018,0.0697844,-0.051388,-0.00409357,-0.0177879,-0.00860783,-759,26086,-46651,655,-2849,1149,128,135.661
43,145,114,58,114,141,197,58,197,141,-0.0829109,1.82099,-0.528722,0.0289027,2.30279,-0.031416,993,993,993,993,993,0,54,38,54,-56,-48,38,-48,-56,0.00404444,0.0641433,-0.0478007,-0.00289522,-0.0171413,-0.00620742,993,23977,-43395,463,-2746,828,132,133.821
44,142,114,57,114,141,198,57,198,141,-0.0829109,1.83383,-0.53519,0.0278555,2.30258,-0.0326726,634,634,634,634,634,0,54,37,54,-56,-47,37,-47,-56,0.00258361,0.0628269,-0.0468022,-0.00300828,-0.0176826,-0.00654976,634,23485,-42488,481,-2832,874,129,132.261
45,136,113,55,113,140,199,55,199,140,-0.0829109,1.8393,-0.541178,0.0272272,2.30258,-0.0351859,-11,-11,-11,-11,-11,0,53,35,53,-57,-46,35,-46,-57,-4.59E-05,0.0603531,-0.0456893,-0.00313873,-0.0176378,-0.0070816,-11,22560,-41478,502,-2825,945,130,129.514
46,134,113,55,113,141,200,55,200,141,-0.0829109,1.8472,-0.547276,0.0270178,2.30237,-0.0351859,-216,-216,-216,-216,-216,0,53,35,53,-56,-45,35,-45,-56,-0.000883091,0.0588959,-0.0435828,-0.00326052,-0.0175921,-0.00721104,-216,22016,-39565,522,-2818,962,132,128.371
47,128,111,55,111,142,200,55,200,142,-0.0829109,1.85465,-0.553375,0.0268083,2.30237,-0.0359399,-355,-355,-355,-355,-355,0,51,35,51,-55,-45,35,-45,-55,-0.00144602,0.0549153,-0.0392147,-0.00320258,-0.0167012,-0.00685501,-355,20528,-35600,513,-2675,915,131,126.301
48,128,111,55,111,142,200,55,200,142,-0.0829109,1.86165,-0.559067,0.0268083,2.30237,-0.0379505,-357,-357,-357,-357,-357,0,51,35,51,-55,-45,35,-45,-55,-0.00145693,0.0551581,-0.0390052,-0.00322772,-0.017153,-0.00688785,-357,20618,-35410,517,-2748,919,131,126.301
49,128,111,53,111,141,200,53,200,141,-0.0829109,1.87072,-0.564204,0.0265989,2.30216,-0.0399612,161,161,161,161,161,0,51,33,51,-56,-45,33,-45,-56,0.000659426,0.0538412,-0.0394648,-0.00280161,-0.0176601,-0.00632426,161,20126,-35827,448,-2829,844,130,125.12
