[        115          94         166         149      0.8916           0]
[        115          94         166         151     0.90576           0]
[        115          94         166         148     0.90039           0]
[        115          95         167         147     0.90332           0]
[        115          93         166         147     0.91943           0]
[        114          94         167         150     0.90723           0]
[        113          94         167         149       0.875           0]
[        114          95         167         150     0.88086           0]
[        114          96         167         158     0.87256           0]
[        114          95         167         152     0.91943           0]
[        115          95         168         149      0.9248           0]
[        114          95         167         156     0.89551           0]
[        115          95         168         153      0.8833           0]
[        114          95         167         152     0.85693           0]
[        114          95         168         151     0.86914           0]
[        115          95         167         149     0.89062           0]
[        115          95         167         149     0.91162           0]
[        115          95         168         149     0.91553           0]
[        114          93         167         148       0.896           0]
[        114          94         167         149     0.89551           0]
[        114          94         167         149     0.89307           0]
[        114          94         167         149     0.86914           0]
[        115          94         167         150     0.89014           0]
[        115          93         167         150     0.89795           0]
[        113          92         166         146     0.87256           0]
[        111          90         167         145     0.91504           0]
[        110          89         165         147     0.89893           0]
[        111          90         165         151     0.89404           0]
[        111          92         166         154     0.86084           0]
[        111          92         166         152     0.86768           0]
[        110          92         164         149     0.90381           0]
[        110          92         164         150     0.91943           0]
[        110          92         164         151     0.91113           0]
[        108          93         166         151     0.86914           0]
[        107          92         163         154     0.86377           0]
[        107          92         162         162     0.85938           0]
[        106          92         162         151     0.90918           0]
[        107          92         162         146     0.91455           0]
[        107          91         162         149     0.92725           0]
[        106          90         162         153     0.90039           0]
[        106          90         162         146     0.88965           0]
[        106          90         162         147     0.86426           0]
[        107          89         159         146     0.85547           0]
[        106          88         159         142     0.91992           0]
[        106          90         160         150     0.88867           0]
[        106          90         160         150     0.88184           0]
[        106          90         160         147     0.87158           0]
[        106          90         161         149     0.85498           0]
[        107          91         161         149     0.86084           0]
[        106          90         160         154     0.86328           0]
[        108          91         160         147     0.90576           0]
[        107          90         160         152      0.9165           0]
[        107          91         161         151     0.87646           0]
[        106          91         163         153     0.88281           0]
[        107          92         163         151     0.90479           0]
[        108          92         163         155     0.87402           0]
[        107          92         163         154     0.85693           0]
[        107          92         163         150     0.89648           0]
[        109          92         162         151     0.92822           0]
[        107          92         164         153      0.8877           0]
[        108          93         163         157     0.86914           0]
[        107          94         164         157     0.85107           0]
[        106          93         163         158       0.854           0]
[        108          94         163         156     0.88086           0]
[        109          95         162         155     0.89453           0]
[        108          96         163         158     0.86768           0]
[        108          97         163         154     0.87891           0]
[        108          98         163         161     0.87109           0]
[        108          97         162         160     0.87256           0]
[        108          96         163         156     0.86328           0]
[        109          97         162         155     0.89893           0]
[        109          98         162         157     0.87988           0]
[        107          97         164         157     0.87598           0]
[        108          95         164         156     0.88623           0]
[        107          95         164         158     0.86084           0]
[        107          97         164         159     0.86523           0]
[        104          94         161         159     0.87109           0]
[        103          93         161         158     0.86816           0]
[        104          94         161         160     0.89355           0]
[         98          91         156         153     0.88232           0]
[         98          92         155         153     0.87158           0]
[         97          92         156         159     0.90723           0]
[         98          94         156         158     0.85059           0]
[         97          95         156         157     0.86426           0]
[         98          93         155         154     0.88574           0]
[         99          93         155         154     0.89795           0]
[         98          94         156         153     0.90527           0]
[         99          93         157         154     0.90283           0]
[         99          92         157         152     0.89648           0]
[        102          89         163         152     0.85107           0]
[        106          89         165         150     0.88232           0]
[        105          90         166         151     0.89258           0]
[        106          90         166         151     0.87744           0]
[        106          91         167         151     0.89648           0]
[        104          90         166         159     0.90137           0]
[        104          90         166         154     0.89502           0]
[        103          90         166         153     0.85498           0]
[        104          90         165         152       0.854           0]
[        105          90         165         156      0.9043           0]
[        105          90         165         152     0.91064           0]
[        104          90         165         154     0.91699           0]
[        104          89         166         155     0.89795           0]
[        104          90         165         155     0.87256           0]
[        105          90         166         149      0.8623           0]
[        104          91         165         151     0.88184           0]
[        117         138         172         204     0.87061           0]
