40,0,316,207
,,,
39,0,316,206
,,,
39,0,316,201
,,,
38,0,316,200
,,,
34,0,316,205
,,,
38,0,316,208
,,,
43,0,316,208
,,,
44,0,316,208
,,,
49,5,316,208
,,,
54,11,316,206
,,,
62,15,316,206
,,,
67,21,313,206
,,,
68,23,313,206
,,,
69,21,313,206
,,,
69,20,313,208
,,,
71,24,315,206
,,,
75,30,315,203
,,,
77,33,315,199
,,,
78,32,315,200
,,,
76,28,315,203
,,,
78,28,315,204
,,,
77,30,314,204
,,,
77,35,315,208
,,,
77,36,314,208
,,,
79,38,315,205
,,,
79,42,314,201
,,,
80,44,314,200
,,,
79,45,311,202
,,,
80,45,311,204
,,,
79,44,311,206
,,,
80,43,311,208
,,,
80,42,311,207
,,,
81,46,312,205
,,,
83,48,312,203
,,,
85,50,311,202
,,,
88,50,311,202
,,,
89,52,312,204
,,,
90,53,311,205
,,,
92,54,311,206
,,,
95,53,309,208
,,,
92,53,308,206
,,,
92,53,309,204
,,,
94,51,309,203
,,,
95,51,308,204
,,,
96,52,309,205
,,,
95,52,309,204
,,,
97,53,305,206
,,,
98,54,300,206
,,,
98,54,300,207
,,,
96,54,300,206
,,,
93,53,299,204
,,,
95,52,301,202
,,,
94,53,299,207
,,,
95,57,296,205
,,,
96,60,296,206
,,,
95,59,291,208
,,,
92,58,286,207
,,,
92,58,283,207
,,,
92,60,281,205
,,,
94,62,281,199
,,,
94,62,281,206
,,,
93,61,281,206
,,,
94,63,282,207
,,,
94,65,279,207
,,,
95,67,278,207
,,,
96,68,277,207
,,,
94,66,275,207
,,,
91,65,271,205
,,,
92,60,273,204
,,,
94,53,278,204
,,,
92,48,274,204
,,,
93,46,273,205
,,,
93,46,274,206
,,,
92,45,272,207
,,,
90,40,275,208
,,,
89,32,273,208
,,,
85,26,272,207
,,,
85,26,273,206
,,,
85,28,271,207
,,,
86,30,271,207
,,,
85,29,268,205
,,,
82,26,268,206
,,,
84,26,269,207
,,,
83,25,269,208
,,,
83,25,271,207
,,,
82,23,271,205
,,,
81,20,272,205
,,,
80,19,270,205
,,,
81,19,269,204
,,,
81,17,269,205
,,,
81,16,270,203
,,,
81,16,271,202
,,,
81,14,274,202
,,,
81,12,272,199
,,,
82,13,274,201
,,,
82,14,274,202
,,,
82,14,274,202
,,,
81,12,273,201
,,,
81,11,274,202
,,,
81,14,273,203
,,,
80,15,275,204
,,,
80,14,271,203
,,,
84,15,270,201
,,,
86,18,269,203
,,,
84,20,270,205
,,,
84,23,270,206
,,,
85,26,274,207
,,,
84,27,276,208
,,,
83,27,277,208
,,,
81,26,277,208
,,,
82,25,274,206
,,,
83,27,269,205
,,,
81,26,267,206
,,,
81,28,268,206
,,,
80,29,267,207
,,,
80,30,267,208
,,,
83,30,267,208
,,,
84,30,269,208
,,,
84,30,269,205
,,,
79,30,269,208
,,,
84,32,269,208
,,,
82,33,269,208
,,,
80,34,269,208
,,,
74,31,266,208
,,,
76,28,267,208
,,,
74,27,271,208
,,,
70,26,273,204
,,,
67,24,274,207
,,,
69,23,274,208
,,,
65,23,269,208
,,,
68,21,274,208
,,,
69,24,277,208
,,,
77,25,274,208
,,,
78,26,273,207
,,,
76,24,273,208
,,,
76,20,273,208
,,,
76,18,276,204
,,,
72,16,273,206
,,,
69,12,272,208
,,,
68,10,273,208
,,,
66,9,274,208
,,,
67,10,274,208
,,,
68,12,272,208
,,,
67,11,272,206
,,,
70,11,271,203
,,,
72,11,271,205
,,,
69,12,272,206
,,,
70,11,273,208
,,,
65,9,272,208
,,,
64,9,272,208
,,,
65,10,274,206
,,,
65,9,276,206
,,,
66,6,274,190
,,,
64,2,272,200
,,,
64,1,273,201
,,,
63,3,269,203
,,,
66,6,269,205
,,,
65,9,269,206
,,,
67,10,272,203
,,,
66,11,270,204
,,,
66,10,271,204
,,,
67,10,272,206
,,,
66,9,271,207
,,,
65,9,270,207
,,,
62,5,273,208
,,,
50,0,271,203
,,,
51,0,270,202
,,,
62,8,262,205
,,,
63,11,263,206
,,,
62,12,263,207
,,,
62,12,263,206
,,,
65,13,262,206
,,,
65,15,260,205
,,,
64,17,263,207
,,,
63,18,261,208
,,,
61,15,263,208
,,,
61,14,263,208
,,,
62,13,264,208
,,,
62,15,266,208
,,,
63,15,265,208
,,,
64,18,265,205
,,,
64,17,266,206
,,,
64,18,264,208
,,,
63,15,268,207
,,,
63,19,266,208
,,,
63,15,269,208
,,,
63,17,272,208
,,,
64,20,271,208
,,,
65,19,270,206
,,,
66,23,268,206
,,,
65,23,269,204
,,,
64,24,270,206
,,,
64,36,269,206
,,,
100,137,266,208
,,,
62.80103359,42.8501292,269.0878553,205.2894057
width,height,depth,
206.2868217,162.4392765,50,
